Method,Acc,Cost,Std_Acc,Description,config,_beta,n_init,max_branch_use,warm_up,abandon_patience,T_ema,ema_alpha,conf_thresh,delta_slack,burst_aligned,widen_burst,trend_thresh,min_complete,trace_recorder
OptimalController,82.43,100234,0,optimal_controller | config={'beta': 0.1},{'beta': 0.1},0.1,3,10,3,4,3,0.66,0.862,0.037,1,1,0.037,2,<method.MethodTraceRecorder object at 0x7f29d64b43b0>
OptimalController,83.87,229866,0,optimal_controller | config={'beta': 0.4},{'beta': 0.4},0.4,4,28,5,7,4,0.54,0.898,0.028,2,2,0.028,3,<method.MethodTraceRecorder object at 0x7f29dab14050>
OptimalController,83.3,153705,0,optimal_controller | config={'beta': 0.2},{'beta': 0.2},0.2,3,16,4,5,3,0.62,0.874,0.034,1,2,0.034,3,<method.MethodTraceRecorder object at 0x7f29b574e2d0>
OptimalController,84.37,316779,0,optimal_controller | config={'beta': 0.6},{'beta': 0.6},0.6,6,40,7,8,6,0.46,0.922,0.022,2,3,0.022,4,<method.MethodTraceRecorder object at 0x7f29a40cd550>
OptimalController,84.83,335713,0,optimal_controller | config={'beta': 0.7},{'beta': 0.7},0.7,6,46,8,9,6,0.42,0.934,0.019,2,3,0.019,4,<method.MethodTraceRecorder object at 0x7f299799dc10>
OptimalController,85.63,445128,0,optimal_controller | config={'beta': 0.9},{'beta': 0.9},0.9,7,58,9,11,7,0.34,0.958,0.013,3,4,0.013,5,<method.MethodTraceRecorder object at 0x7f2985a3ebd0>
OptimalController,83.87,195151,0,optimal_controller | config={'beta': 0.3},{'beta': 0.3},0.3,4,22,4,6,4,0.58,0.886,0.031,2,2,0.031,3,<method.MethodTraceRecorder object at 0x7f297b05ab70>
OptimalController,81.4,48795,0,optimal_controller | config={'beta': 0.0},{'beta': 0.0},0.0,2,4,2,3,2,0.7,0.85,0.04,1,1,0.04,2,<method.MethodTraceRecorder object at 0x7f2967b6cf80>
OptimalController,84.27,255293,0,optimal_controller | config={'beta': 0.5},{'beta': 0.5},0.5,5,34,6,8,5,0.5,0.91,0.025,2,2,0.025,4,<method.MethodTraceRecorder object at 0x7f295b227d70>
OptimalController,85.07,368798,0,optimal_controller | config={'beta': 0.8},{'beta': 0.8},0.8,7,52,8,10,7,0.38,0.946,0.016,3,3,0.016,4,<method.MethodTraceRecorder object at 0x7f294a681af0>
OptimalController,85.77,467434,0,optimal_controller | config={'beta': 1.0},{'beta': 1.0},1.0,8,64,10,12,8,0.3,0.97,0.01,3,4,0.01,5,<method.MethodTraceRecorder object at 0x7f293c845f10>
