Method,Acc,Cost,Std_Acc,Description,config,_beta,warm_up,lock_streak,prune_patience,conf_thresh,max_cohort,maturity_boost,min_locked_frac,trace_recorder
OptimalController,15.9,4828,0,optimal_controller | config={'beta': 0.0},{'beta': 0.0},0.0,2,2,3,0.85,4,1.0,0.4,<method.MethodTraceRecorder object at 0x7fc090cd4200>
OptimalController,15.03,6434,0,optimal_controller | config={'beta': 0.1},{'beta': 0.1},0.1,3,2,4,0.863,7,1.3,0.43000000000000005,<method.MethodTraceRecorder object at 0x7fc0958da390>
OptimalController,14.53,7565,0,optimal_controller | config={'beta': 0.2},{'beta': 0.2},0.2,3,2,4,0.876,10,1.6,0.46,<method.MethodTraceRecorder object at 0x7fc090a42930>
OptimalController,24.23,19749,0,optimal_controller | config={'beta': 0.3},{'beta': 0.3},0.3,4,3,4,0.889,12,1.9,0.49,<method.MethodTraceRecorder object at 0x7fc081b8acf0>
OptimalController,24.1,34822,0,optimal_controller | config={'beta': 0.7},{'beta': 0.7},0.7,6,3,6,0.941,24,3.0999999999999996,0.61,<method.MethodTraceRecorder object at 0x7fc07c29ae10>
OptimalController,23.97,30942,0,optimal_controller | config={'beta': 0.6},{'beta': 0.6},0.6,6,3,6,0.9279999999999999,21,2.8,0.5800000000000001,<method.MethodTraceRecorder object at 0x7fc076bd9f40>
OptimalController,24.13,24215,0,optimal_controller | config={'beta': 0.4},{'beta': 0.4},0.4,4,3,5,0.902,15,2.2,0.52,<method.MethodTraceRecorder object at 0x7fc0710079b0>
OptimalController,24.07,28253,0,optimal_controller | config={'beta': 0.5},{'beta': 0.5},0.5,5,3,6,0.915,18,2.5,0.55,<method.MethodTraceRecorder object at 0x7fc06b053560>
OptimalController,36.17,62775,0,optimal_controller | config={'beta': 0.8},{'beta': 0.8},0.8,7,4,7,0.954,26,3.4000000000000004,0.64,<method.MethodTraceRecorder object at 0x7fc065875af0>
OptimalController,36.83,70601,0,optimal_controller | config={'beta': 0.9},{'beta': 0.9},0.9,7,4,8,0.967,29,3.7,0.67,<method.MethodTraceRecorder object at 0x7fc05c6ee870>
OptimalController,36.9,77118,0,optimal_controller | config={'beta': 1.0},{'beta': 1.0},1.0,8,4,8,0.98,32,4.0,0.7,<method.MethodTraceRecorder object at 0x7fc05342f200>
