Method,Acc,Cost,Std_Acc,Description,config,_beta,warm_up,min_complete,conf_thresh,n_init,max_branch_use,abandon_patience,burst_aligned,stall_patience,burst_new,trace_recorder
OptimalController,16.57,108907,0,optimal_controller | config={'beta': 0.1},{'beta': 0.1},0.1,3,2,0.862,3,10,5,1,3,1,<method.MethodTraceRecorder object at 0x7f416d70aa50>
OptimalController,17.47,150356,0,optimal_controller | config={'beta': 0.2},{'beta': 0.2},0.2,4,3,0.874,3,16,6,2,3,2,<method.MethodTraceRecorder object at 0x7f410dccabd0>
OptimalController,18.67,213271,0,optimal_controller | config={'beta': 0.4},{'beta': 0.4},0.4,5,4,0.898,4,28,7,2,4,2,<method.MethodTraceRecorder object at 0x7f4131bef1a0>
OptimalController,15.33,57182,0,optimal_controller | config={'beta': 0.0},{'beta': 0.0},0.0,2,2,0.85,2,4,4,1,2,1,<method.MethodTraceRecorder object at 0x7f4153606db0>
OptimalController,18.0,176601,0,optimal_controller | config={'beta': 0.3},{'beta': 0.3},0.3,4,3,0.886,4,22,6,2,4,2,<method.MethodTraceRecorder object at 0x7f41c4572de0>
OptimalController,19.93,359641,0,optimal_controller | config={'beta': 0.8},{'beta': 0.8},0.8,8,5,0.946,7,52,10,3,7,3,<method.MethodTraceRecorder object at 0x7f42573b07d0>
OptimalController,20.43,408191,0,optimal_controller | config={'beta': 0.9},{'beta': 0.9},0.9,9,6,0.958,7,58,11,4,7,4,<method.MethodTraceRecorder object at 0x7f411acb3980>
OptimalController,19.3,282730,0,optimal_controller | config={'beta': 0.6},{'beta': 0.6},0.6,7,4,0.9219999999999999,6,40,9,3,6,3,<method.MethodTraceRecorder object at 0x7f40a6177560>
OptimalController,19.3,245164,0,optimal_controller | config={'beta': 0.5},{'beta': 0.5},0.5,6,4,0.9099999999999999,5,34,8,2,5,2,<method.MethodTraceRecorder object at 0x7f408663ef30>
OptimalController,19.83,320351,0,optimal_controller | config={'beta': 0.7},{'beta': 0.7},0.7,8,5,0.9339999999999999,6,46,10,3,6,3,<method.MethodTraceRecorder object at 0x7f40683ae7b0>
OptimalController,20.67,467658,0,optimal_controller | config={'beta': 1.0},{'beta': 1.0},1.0,10,6,0.97,8,64,12,4,8,4,<method.MethodTraceRecorder object at 0x7f404a6966c0>
