Method,Acc,Cost,Std_Acc,Description,config,_beta,warm_up,min_complete,conf_thresh,n_init,max_branch_use,abandon_patience,burst_aligned,stall_patience,burst_new,trace_recorder
OptimalController,80.33,137378,0,optimal_controller | config={'beta': 0.3},{'beta': 0.3},0.3,4,3,0.886,4,22,6,2,4,2,<method.MethodTraceRecorder object at 0x7f41c45712b0>
OptimalController,81.7,181536,0,optimal_controller | config={'beta': 0.7},{'beta': 0.7},0.7,8,5,0.9339999999999999,6,46,10,3,6,3,<method.MethodTraceRecorder object at 0x7f417c06d190>
OptimalController,81.73,193632,0,optimal_controller | config={'beta': 0.8},{'beta': 0.8},0.8,8,5,0.946,7,52,10,3,7,3,<method.MethodTraceRecorder object at 0x7f4173ee7e30>
OptimalController,81.87,208398,0,optimal_controller | config={'beta': 0.9},{'beta': 0.9},0.9,9,6,0.958,7,58,11,4,7,4,<method.MethodTraceRecorder object at 0x7f4164411eb0>
OptimalController,81.93,222349,0,optimal_controller | config={'beta': 1.0},{'beta': 1.0},1.0,10,6,0.97,8,64,12,4,8,4,<method.MethodTraceRecorder object at 0x7f4153604440>
OptimalController,80.47,121657,0,optimal_controller | config={'beta': 0.2},{'beta': 0.2},0.2,4,3,0.874,3,16,6,2,3,2,<method.MethodTraceRecorder object at 0x7f41487f9a90>
OptimalController,80.37,93332,0,optimal_controller | config={'beta': 0.1},{'beta': 0.1},0.1,3,2,0.862,3,10,5,1,3,1,<method.MethodTraceRecorder object at 0x7f413da62570>
OptimalController,79.33,46928,0,optimal_controller | config={'beta': 0.0},{'beta': 0.0},0.0,2,2,0.85,2,4,4,1,2,1,<method.MethodTraceRecorder object at 0x7f4131bee2a0>
OptimalController,81.57,169203,0,optimal_controller | config={'beta': 0.6},{'beta': 0.6},0.6,7,4,0.9219999999999999,6,40,9,3,6,3,<method.MethodTraceRecorder object at 0x7f4121edd3d0>
OptimalController,80.67,158657,0,optimal_controller | config={'beta': 0.4},{'beta': 0.4},0.4,5,4,0.898,4,28,7,2,4,2,<method.MethodTraceRecorder object at 0x7f4119fffec0>
OptimalController,80.9,165814,0,optimal_controller | config={'beta': 0.5},{'beta': 0.5},0.5,6,4,0.9099999999999999,5,34,8,2,5,2,<method.MethodTraceRecorder object at 0x7f410dccbaa0>
