Method,Acc,Cost,Std_Acc,Description,config,_beta,warm_up,min_complete,conf_thresh,n_init,max_branch_use,abandon_patience,trace_recorder
OptimalController,82.63,99362,0,optimal_controller | config={'beta': 0.1},{'beta': 0.1},0.1,3,2,0.862,3,10,6,<method.MethodTraceRecorder object at 0x7eff645afbf0>
OptimalController,83.37,141287,0,optimal_controller | config={'beta': 0.2},{'beta': 0.2},0.2,4,3,0.874,3,16,6,<method.MethodTraceRecorder object at 0x7eff541b7a40>
OptimalController,83.6,201431,0,optimal_controller | config={'beta': 0.4},{'beta': 0.4},0.4,5,4,0.898,4,28,8,<method.MethodTraceRecorder object at 0x7eff46ab3ec0>
OptimalController,81.47,48667,0,optimal_controller | config={'beta': 0.0},{'beta': 0.0},0.0,2,2,0.85,2,4,5,<method.MethodTraceRecorder object at 0x7eff3822b3e0>
OptimalController,83.97,259089,0,optimal_controller | config={'beta': 0.8},{'beta': 0.8},0.8,8,5,0.946,7,52,11,<method.MethodTraceRecorder object at 0x7eff266a61e0>
OptimalController,83.53,170991,0,optimal_controller | config={'beta': 0.3},{'beta': 0.3},0.3,4,3,0.886,4,22,7,<method.MethodTraceRecorder object at 0x7eff19a0f560>
OptimalController,83.77,273617,0,optimal_controller | config={'beta': 0.9},{'beta': 0.9},0.9,9,6,0.958,7,58,11,<method.MethodTraceRecorder object at 0x7eff08d46930>
OptimalController,84.0,286941,0,optimal_controller | config={'beta': 1.0},{'beta': 1.0},1.0,10,6,0.97,8,64,12,<method.MethodTraceRecorder object at 0x7efefa207dd0>
OptimalController,83.63,226743,0,optimal_controller | config={'beta': 0.6},{'beta': 0.6},0.6,7,4,0.9219999999999999,6,40,9,<method.MethodTraceRecorder object at 0x7efee0c586b0>
OptimalController,83.6,210866,0,optimal_controller | config={'beta': 0.5},{'beta': 0.5},0.5,6,4,0.9099999999999999,5,34,8,<method.MethodTraceRecorder object at 0x7efed5aee420>
OptimalController,83.87,240985,0,optimal_controller | config={'beta': 0.7},{'beta': 0.7},0.7,8,5,0.9339999999999999,6,46,10,<method.MethodTraceRecorder object at 0x7efec27f4d40>
