Method,Acc,Cost,Std_Acc,Description,config,max_samples,threshold,trace_recorder,window_size,num_chains,K,T,eps_inter,eps_intra,prune_patience,warm_up,probe_burst,max_steps
ASCMethod,72.23,13916,0,"asc | config={'max_samples': 1, 'threshold': 0.95}","{'max_samples': 1, 'threshold': 0.95}",1.0,0.95,<method.MethodTraceRecorder object at 0x7f98e2252690>,,,,,,,,,,
ASCMethod,80.0,214189,0,"asc | config={'max_samples': 64, 'threshold': 0.95}","{'max_samples': 64, 'threshold': 0.95}",64.0,0.95,<method.MethodTraceRecorder object at 0x7f997091db80>,,,,,,,,,,
ASCMethod,80.17,121219,0,"asc | config={'max_samples': 16, 'threshold': 0.95}","{'max_samples': 16, 'threshold': 0.95}",16.0,0.95,<method.MethodTraceRecorder object at 0x7f996e59ffb0>,,,,,,,,,,
ESCMethod,80.17,189027,0,"esc | config={'max_samples': 16, 'window_size': 8}","{'max_samples': 16, 'window_size': 8}",16.0,,<method.MethodTraceRecorder object at 0x7f9969dd2420>,8.0,,,,,,,,,
ESCMethod,80.07,319023,0,"esc | config={'max_samples': 32, 'window_size': 8}","{'max_samples': 32, 'window_size': 8}",32.0,,<method.MethodTraceRecorder object at 0x7f9a8823b350>,8.0,,,,,,,,,
ASCMethod,77.73,55635,0,"asc | config={'max_samples': 4, 'threshold': 0.95}","{'max_samples': 4, 'threshold': 0.95}",4.0,0.95,<method.MethodTraceRecorder object at 0x7f9962bd0230>,,,,,,,,,,
ESCMethod,80.0,528934,0,"esc | config={'max_samples': 64, 'window_size': 8}","{'max_samples': 64, 'window_size': 8}",64.0,,<method.MethodTraceRecorder object at 0x7f995faa5790>,8.0,,,,,,,,,
ASCMethod,79.97,86656,0,"asc | config={'max_samples': 8, 'threshold': 0.95}","{'max_samples': 8, 'threshold': 0.95}",8.0,0.95,<method.MethodTraceRecorder object at 0x7f98fd848680>,,,,,,,,,,
ASCMethod,80.07,160955,0,"asc | config={'max_samples': 32, 'threshold': 0.95}","{'max_samples': 32, 'threshold': 0.95}",32.0,0.95,<method.MethodTraceRecorder object at 0x7f98f89aaa50>,,,,,,,,,,
Parallel_Probe,72.23,13908,0,"Parallel_Probe | config={'num_chains': 1, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}","{'num_chains': 1, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}",,,<method.MethodTraceRecorder object at 0x7f9a88293c50>,,1.0,5.0,40.0,5.0,5.0,7.0,15.0,1.0,100.0
Parallel_Probe,78.4,89628,0,"Parallel_Probe | config={'num_chains': 8, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}","{'num_chains': 8, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}",,,<method.MethodTraceRecorder object at 0x7f987d6436e0>,,8.0,5.0,40.0,5.0,5.0,7.0,15.0,1.0,100.0
Parallel_Probe,76.37,46184,0,"Parallel_Probe | config={'num_chains': 4, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}","{'num_chains': 4, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}",,,<method.MethodTraceRecorder object at 0x7f98569bd2e0>,,4.0,5.0,40.0,5.0,5.0,7.0,15.0,1.0,100.0
Parallel_Probe,79.5,347702,0,"Parallel_Probe | config={'num_chains': 32, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}","{'num_chains': 32, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}",,,<method.MethodTraceRecorder object at 0x7f9839dfbef0>,,32.0,5.0,40.0,5.0,5.0,7.0,15.0,1.0,100.0
Parallel_Probe,78.83,175794,0,"Parallel_Probe | config={'num_chains': 16, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}","{'num_chains': 16, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}",,,<method.MethodTraceRecorder object at 0x7f97f50ebe30>,,16.0,5.0,40.0,5.0,5.0,7.0,15.0,1.0,100.0
Parallel_Probe,79.73,688872,0,"Parallel_Probe | config={'num_chains': 64, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}","{'num_chains': 64, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}",,,<method.MethodTraceRecorder object at 0x7f97bec46de0>,,64.0,5.0,40.0,5.0,5.0,7.0,15.0,1.0,100.0
