Method,Acc,Cost,Std_Acc,Description,config,max_samples,window_size,trace_recorder,threshold,num_chains,K,T,eps_inter,eps_intra,prune_patience,warm_up,probe_burst,max_steps
ESCMethod,18.33,251344,0,"esc | config={'max_samples': 16, 'window_size': 8}","{'max_samples': 16, 'window_size': 8}",16.0,8.0,<method.MethodTraceRecorder object at 0x7f996ba8b320>,,,,,,,,,,
ASCMethod,20.2,449812,0,"asc | config={'max_samples': 32, 'threshold': 0.95}","{'max_samples': 32, 'threshold': 0.95}",32.0,,<method.MethodTraceRecorder object at 0x7f995faa5bb0>,0.95,,,,,,,,,
ESCMethod,20.2,498741,0,"esc | config={'max_samples': 32, 'window_size': 8}","{'max_samples': 32, 'window_size': 8}",32.0,8.0,<method.MethodTraceRecorder object at 0x7f98984a8fb0>,,,,,,,,,,
ASCMethod,10.83,15879,0,"asc | config={'max_samples': 1, 'threshold': 0.95}","{'max_samples': 1, 'threshold': 0.95}",1.0,,<method.MethodTraceRecorder object at 0x7f996561af00>,0.95,,,,,,,,,
ASCMethod,21.4,805490,0,"asc | config={'max_samples': 64, 'threshold': 0.95}","{'max_samples': 64, 'threshold': 0.95}",64.0,,<method.MethodTraceRecorder object at 0x7f995f11d490>,0.95,,,,,,,,,
ASCMethod,13.63,63178,0,"asc | config={'max_samples': 4, 'threshold': 0.95}","{'max_samples': 4, 'threshold': 0.95}",4.0,,<method.MethodTraceRecorder object at 0x7f98fd69f170>,0.95,,,,,,,,,
Parallel_Probe,13.53,51483,0,"Parallel_Probe | config={'num_chains': 4, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}","{'num_chains': 4, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}",,,<method.MethodTraceRecorder object at 0x7f98938ff890>,,4.0,5.0,40.0,5.0,5.0,7.0,15.0,1.0,100.0
Parallel_Probe,10.83,15738,0,"Parallel_Probe | config={'num_chains': 1, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}","{'num_chains': 1, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}",,,<method.MethodTraceRecorder object at 0x7f9845e5d280>,,1.0,5.0,40.0,5.0,5.0,7.0,15.0,1.0,100.0
ASCMethod,16.2,124498,0,"asc | config={'max_samples': 8, 'threshold': 0.95}","{'max_samples': 8, 'threshold': 0.95}",8.0,,<method.MethodTraceRecorder object at 0x7f9878d2b890>,0.95,,,,,,,,,
Parallel_Probe,16.17,100838,0,"Parallel_Probe | config={'num_chains': 8, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}","{'num_chains': 8, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}",,,<method.MethodTraceRecorder object at 0x7f98674f1610>,,8.0,5.0,40.0,5.0,5.0,7.0,15.0,1.0,100.0
ESCMethod,21.43,986723,0,"esc | config={'max_samples': 64, 'window_size': 8}","{'max_samples': 64, 'window_size': 8}",64.0,8.0,<method.MethodTraceRecorder object at 0x7f982b7989b0>,,,,,,,,,,
ASCMethod,18.33,240359,0,"asc | config={'max_samples': 16, 'threshold': 0.95}","{'max_samples': 16, 'threshold': 0.95}",16.0,,<method.MethodTraceRecorder object at 0x7f97e09965d0>,0.95,,,,,,,,,
Parallel_Probe,19.0,198498,0,"Parallel_Probe | config={'num_chains': 16, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}","{'num_chains': 16, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}",,,<method.MethodTraceRecorder object at 0x7f9a28518f80>,,16.0,5.0,40.0,5.0,5.0,7.0,15.0,1.0,100.0
Parallel_Probe,21.07,390779,0,"Parallel_Probe | config={'num_chains': 32, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}","{'num_chains': 32, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}",,,<method.MethodTraceRecorder object at 0x7f98026a3950>,,32.0,5.0,40.0,5.0,5.0,7.0,15.0,1.0,100.0
Parallel_Probe,21.83,773781,0,"Parallel_Probe | config={'num_chains': 64, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}","{'num_chains': 64, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}",,,<method.MethodTraceRecorder object at 0x7f972b776f30>,,64.0,5.0,40.0,5.0,5.0,7.0,15.0,1.0,100.0
